"X","Creditability","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Sex...Marital.Status","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone"
363,1,3,6,3,2,1221,4,2,1,3,1,2,2,27,2,2,2,2,1,1
365,1,3,12,2,3,2279,4,2,4,2,1,4,4,37,2,3,1,2,1,2
370,1,1,24,2,2,3021,1,2,2,1,1,2,1,24,2,1,1,1,1,1
374,1,1,6,2,3,343,1,1,4,1,1,1,1,27,2,2,1,2,1,1
376,1,1,27,2,3,3416,1,2,3,2,1,2,3,27,2,2,1,2,1,1
379,1,2,15,2,3,1514,2,2,4,2,2,2,1,22,2,2,1,2,1,1
380,1,3,30,3,3,6742,4,3,2,2,1,3,2,36,2,2,2,2,1,1
381,1,1,18,2,2,3650,1,1,1,1,1,4,3,22,2,1,1,2,1,1
383,1,3,60,3,4,13756,4,4,2,2,1,4,4,63,1,3,1,2,1,2
385,1,3,42,3,2,4041,3,2,4,2,1,4,1,36,2,2,2,2,1,2
390,1,1,24,2,1,2812,4,4,2,1,1,4,1,26,2,1,1,2,1,1
391,1,3,15,2,1,3029,1,3,2,2,1,2,3,33,2,2,1,2,1,1
392,1,3,12,3,4,1480,3,1,2,2,1,4,4,66,1,3,2,1,1,1
395,1,3,24,2,2,5511,2,2,4,2,1,1,3,25,1,2,1,2,1,1
396,1,2,9,2,3,1206,1,4,4,1,1,4,1,25,2,2,1,2,1,1
398,1,3,12,2,3,707,1,2,4,2,1,2,1,30,1,2,2,2,1,1
399,1,3,12,3,1,1503,1,2,4,3,1,4,1,41,2,1,1,2,1,1
404,1,3,24,2,3,3181,1,1,4,1,1,4,2,26,2,2,1,2,1,2
405,1,3,18,2,3,4594,1,1,3,2,1,2,3,32,2,2,1,2,1,2
406,1,2,48,2,4,5381,4,1,3,2,1,4,4,40,1,3,1,1,1,2
408,1,2,9,2,4,1391,1,2,2,3,1,1,1,27,1,2,1,2,1,2
409,1,2,18,2,4,1913,3,1,3,3,1,3,1,36,1,2,1,2,1,2
411,1,3,13,2,3,1409,2,1,2,1,1,4,1,64,2,2,1,2,1,1
413,1,3,12,3,3,976,4,4,4,2,1,4,3,35,2,2,2,2,1,1
414,1,3,24,3,4,2375,3,2,4,2,1,2,3,44,2,2,2,2,2,2
415,1,3,12,3,3,522,3,4,4,2,1,4,2,42,2,2,2,2,2,2
416,1,3,28,3,3,2743,1,4,4,2,1,2,3,29,2,2,2,2,1,1
417,1,3,11,3,3,1154,2,1,4,1,1,4,1,57,2,2,2,1,1,1
418,1,3,24,3,1,5804,3,2,4,2,1,2,1,27,2,2,2,2,1,1
420,1,1,15,3,2,1478,1,4,4,2,1,4,3,44,2,2,2,2,2,2
422,1,2,11,3,4,1322,3,2,4,1,1,4,3,40,2,2,2,2,1,1
423,1,2,16,3,4,1175,1,1,2,2,1,3,3,68,2,3,2,1,1,2
424,1,3,12,2,4,2133,4,4,4,1,1,4,4,52,2,3,1,2,1,2
425,1,3,15,3,3,1829,1,4,4,2,1,4,3,46,2,2,2,2,1,2
426,1,3,12,3,3,717,1,4,4,2,1,4,1,52,2,2,2,2,1,1
431,1,3,30,3,3,4530,1,3,4,1,1,4,3,26,2,1,1,2,1,2
435,1,3,12,3,4,1264,4,4,4,2,1,4,4,57,2,1,1,1,1,1
436,1,3,7,3,3,846,4,4,3,2,1,4,4,36,2,3,1,2,1,1
437,1,3,15,3,3,1532,2,2,4,1,1,3,3,31,2,2,1,2,1,1
439,1,1,27,3,4,2442,1,4,4,2,1,4,3,43,1,2,2,2,2,2
441,1,3,21,3,2,2288,1,1,4,1,1,4,2,23,2,2,1,2,1,2
443,1,1,39,3,2,14179,4,3,4,2,1,4,2,30,2,2,2,2,1,2
444,1,3,15,2,3,1386,4,2,4,3,1,2,1,40,2,1,1,2,1,2
445,1,3,12,3,3,618,1,4,4,2,1,4,1,56,2,2,1,2,1,1
446,1,3,12,2,2,1574,1,2,4,2,1,2,1,50,2,2,1,2,1,1
447,1,3,6,3,3,700,4,4,4,2,1,4,4,36,2,3,2,2,1,1
448,1,3,12,2,3,886,4,2,4,1,1,2,3,21,2,2,1,2,1,1
449,1,3,36,2,1,4686,1,2,2,2,1,2,4,32,2,3,1,2,1,2
451,0,2,12,2,3,766,3,2,4,2,1,3,1,66,2,2,1,1,1,1
453,1,2,10,2,4,7308,1,1,2,2,1,4,4,70,1,3,1,2,1,2
454,1,2,24,3,3,5743,1,1,2,1,1,4,4,24,2,3,2,2,1,2
459,1,2,24,3,2,2333,4,1,4,2,1,2,2,29,1,2,1,1,1,1
460,1,3,12,2,1,2445,4,1,2,3,1,4,3,26,2,1,1,2,1,2
461,1,2,20,2,1,6468,4,1,1,1,1,4,1,60,2,2,1,2,1,2
462,1,2,18,3,2,7374,1,1,4,2,1,4,2,40,1,2,2,2,1,2
463,1,3,15,2,1,3812,2,1,1,1,1,4,3,23,2,2,1,2,1,2
464,0,1,28,2,4,4006,1,2,3,2,1,2,3,45,2,2,1,1,1,1
467,1,2,12,2,1,2028,4,2,4,2,1,2,3,30,2,2,1,2,1,1
469,1,2,36,2,3,2323,1,3,4,2,1,4,3,24,2,1,1,2,1,1
471,1,3,18,2,2,1984,1,2,4,2,1,4,4,47,1,3,2,2,1,1
474,1,3,15,2,2,2186,4,3,1,1,1,4,1,33,1,1,1,1,1,1
475,1,3,36,2,3,4473,1,4,4,2,1,2,3,31,2,2,1,2,1,1
476,1,3,24,2,4,937,1,1,4,3,1,3,3,27,2,2,2,1,1,1
478,1,3,24,2,3,3105,4,1,4,2,1,2,3,25,2,2,2,2,1,1
480,1,2,18,2,3,3872,1,1,2,1,1,4,3,67,2,2,1,2,1,2
481,1,3,27,2,3,5190,4,4,4,2,1,4,2,48,2,2,2,2,2,2
484,1,3,12,3,2,5801,4,4,2,2,1,4,2,49,2,1,1,2,1,2
486,1,3,12,3,4,1185,1,2,3,1,1,2,1,27,2,2,2,2,1,1
490,1,3,12,2,4,3527,4,1,2,2,1,3,2,45,2,2,1,2,2,2
492,1,3,12,3,2,3331,1,4,2,2,1,4,2,42,1,2,1,2,1,1
496,1,3,24,2,3,1311,2,3,4,3,1,3,2,26,2,2,1,2,1,2
498,1,3,24,3,1,4042,4,3,3,2,1,4,2,43,2,2,2,2,1,2
499,1,3,12,3,4,926,1,1,1,1,1,2,2,38,2,2,1,1,1,1
501,1,3,24,2,4,1249,1,1,4,3,1,2,1,28,2,2,1,2,1,1
503,1,3,6,2,3,1595,1,3,3,2,1,2,2,51,2,2,1,2,2,1
504,1,3,24,3,3,2058,1,2,4,1,1,2,1,33,2,2,2,2,1,2
506,1,3,6,3,3,1740,1,4,2,3,1,2,1,30,2,1,2,2,1,1
508,1,3,24,3,1,6842,4,2,2,2,1,4,2,46,2,2,2,2,2,2
510,1,1,6,2,4,1203,2,4,3,2,1,2,2,43,2,2,1,2,1,2
514,1,2,30,2,2,3832,1,1,2,3,1,1,2,22,2,2,1,2,1,1
519,0,3,24,2,3,5943,4,1,1,1,1,1,3,44,2,2,2,2,1,2
525,1,2,12,3,1,1860,1,1,4,2,1,2,3,34,2,2,2,2,1,2
526,1,3,36,3,3,9566,1,2,2,1,1,2,3,31,1,2,2,2,1,1
528,1,2,12,2,3,2930,1,3,2,1,1,1,1,27,2,2,1,2,1,1
529,1,3,18,2,3,1505,1,2,4,2,1,2,4,32,2,3,1,2,1,2
532,1,3,24,3,1,2197,4,3,4,2,1,4,3,43,2,2,2,2,2,2
534,1,1,18,3,3,1880,1,3,4,3,1,1,2,32,2,2,2,2,1,2
536,1,2,24,2,3,1967,1,4,4,1,1,4,3,20,2,2,1,2,1,2
540,1,2,18,1,2,3244,1,2,1,1,1,4,3,33,1,2,2,2,1,2
541,0,2,9,2,3,1670,1,1,4,1,1,2,3,22,2,2,1,2,1,2
542,1,2,48,2,3,3979,4,3,4,2,1,1,3,41,2,2,2,2,2,2
549,1,2,12,2,4,1007,3,2,4,3,1,1,1,22,2,2,1,2,1,1
553,1,3,12,2,4,1101,1,2,3,3,1,2,1,27,2,2,2,2,1,2
560,1,2,14,2,4,1410,3,4,1,3,1,2,1,35,2,2,1,2,1,2
561,1,3,20,3,4,3485,4,1,2,1,1,4,1,44,2,2,2,2,1,2
563,0,2,60,2,4,7408,2,1,4,1,1,2,2,24,2,2,1,2,1,1
564,1,3,24,2,3,1377,2,4,4,1,1,2,4,47,2,3,1,2,1,2
569,1,3,12,3,2,1935,1,4,4,2,1,4,1,43,2,2,2,2,1,2
572,1,3,36,2,3,9055,4,2,2,2,1,4,4,35,2,3,1,1,2,2
573,1,2,26,2,1,7966,1,1,2,2,1,3,3,30,2,2,2,2,1,1
574,1,2,30,1,2,3496,3,2,4,2,1,2,3,34,1,2,1,2,2,2
575,1,2,36,2,1,6948,1,2,2,2,1,2,3,35,2,1,1,2,1,2
576,1,2,48,1,4,12204,4,2,2,2,1,2,3,48,1,2,1,2,1,2
577,0,1,36,2,2,3446,1,4,4,2,1,2,3,42,2,2,1,2,2,1
580,0,1,42,2,3,7174,4,3,4,1,1,3,3,30,2,2,1,2,1,2
581,0,1,24,1,3,1546,1,3,4,2,2,4,3,24,1,1,1,1,1,1
583,0,3,24,2,3,3621,2,4,2,2,1,4,3,31,2,2,2,2,1,1
585,0,1,12,2,2,7865,1,4,4,2,1,4,4,53,2,3,1,2,1,2
587,1,1,18,3,4,5302,1,4,2,2,1,4,4,36,2,3,2,2,1,2
588,1,1,36,2,2,3620,1,2,1,2,2,2,2,37,2,2,1,2,2,1
589,1,1,18,2,3,3509,1,3,4,1,2,1,1,25,2,2,1,2,1,1
590,1,2,12,2,2,3017,1,1,3,1,1,1,1,34,2,1,1,2,1,1
591,1,1,12,2,2,1657,1,2,2,2,1,2,1,27,2,2,1,2,1,1
595,1,1,30,1,2,4583,1,2,2,1,2,2,1,32,2,2,2,2,1,1
596,1,1,36,3,2,5371,1,2,3,2,2,2,2,28,2,2,2,2,1,1
598,1,1,21,3,4,571,1,4,4,2,1,4,1,65,2,2,2,2,1,1
600,0,1,36,2,2,5179,1,3,4,2,1,2,2,29,2,2,1,2,1,1
601,0,1,36,2,1,8229,1,2,2,2,1,2,2,26,2,2,1,2,2,1
603,1,1,6,2,4,1374,4,1,4,1,1,3,2,75,2,2,1,2,1,2
607,1,2,6,3,2,1050,1,1,4,2,1,1,2,35,1,2,2,2,1,2
609,1,1,48,2,1,4788,1,3,4,2,1,3,2,26,2,2,1,2,2,1
611,0,2,12,2,4,836,2,1,4,1,1,2,2,23,1,2,1,1,1,1
612,1,1,12,2,2,2577,1,2,2,1,1,1,3,42,2,2,1,2,1,1
614,1,1,15,2,2,1845,1,1,4,1,2,1,2,46,2,1,1,2,1,1
615,1,1,24,2,1,6579,1,1,4,2,1,2,4,29,2,3,1,2,1,2
617,1,1,30,3,1,10623,1,4,3,2,1,4,4,38,2,3,2,2,2,2
619,0,1,30,2,2,3108,1,1,2,1,1,4,2,31,2,2,1,1,1,1
620,1,2,12,3,4,958,1,3,2,2,1,3,1,47,2,2,2,1,2,1
622,1,3,24,3,4,6314,1,1,4,2,2,2,4,27,1,2,2,2,1,2
625,1,1,24,3,1,6615,1,1,2,2,1,4,4,75,2,3,2,2,1,2
628,1,3,18,3,3,1582,3,4,4,2,1,4,3,46,2,2,2,2,1,1
629,1,3,6,2,4,1238,4,1,4,2,1,4,2,36,2,2,1,2,2,2
631,1,1,15,3,2,1433,1,2,4,1,1,3,2,25,2,1,2,2,1,1
632,1,1,42,2,2,7882,1,3,2,2,2,4,2,45,2,3,1,2,2,1
634,1,1,36,2,2,3959,1,1,4,2,1,3,2,30,2,2,1,2,1,2
635,1,1,36,2,4,3249,1,3,2,2,1,4,4,39,1,3,1,2,2,2
636,1,1,24,2,2,3149,1,1,4,2,1,1,4,22,1,3,1,2,1,1
